"geo","time","armed_forces_personnel_total"
"bdi",1985,5200
"bdi",1989,11000
"bdi",1990,12000
"bdi",1991,12000
"bdi",1992,13000
"bdi",1993,13000
"bdi",1994,17000
"bdi",1995,14600
"bdi",1996,22000
"bdi",1997,22000
"bdi",1998,43500
"bdi",1999,45500
"bdi",2000,45500
"bdi",2001,51000
"bdi",2002,51000
"bdi",2003,56000
"bdi",2004,81000
"bdi",2005,82000
"bdi",2007,51000
"bdi",2008,51000
"bdi",2009,51050
"bdi",2010,51050
"bdi",2011,51050
"bdi",2012,51000
"bdi",2013,51050
"bdi",2014,51050
"bdi",2015,41000
"bdi",2016,51050
"cod",1985,48000
"cod",1989,51000
"cod",1990,55000
"cod",1991,60000
"cod",1992,45000
"cod",1993,40000
"cod",1994,40000
"cod",1995,65100
"cod",1996,65100
"cod",1997,77000
"cod",1998,87000
"cod",1999,92900
"cod",2000,92900
"cod",2001,81400
"cod",2002,81400
"cod",2003,97800
"cod",2004,64000
"cod",2005,65000
"cod",2007,143000
"cod",2008,151000
"cod",2009,159000
"cod",2010,159000
"cod",2011,134250
"cod",2012,134250
"cod",2013,134250
"cod",2014,134250
"cod",2015,134250
"cod",2016,134250
"ken",1985,13700
"ken",1989,20000
"ken",1990,20000
"ken",1991,20000
"ken",1992,24000
"ken",1993,24000
"ken",1994,22000
"ken",1995,29200
"ken",1996,29200
"ken",1997,29200
"ken",1998,29200
"ken",1999,29200
"ken",2000,27200
"ken",2001,29400
"ken",2002,29400
"ken",2003,29100
"ken",2004,29000
"ken",2005,29000
"ken",2007,29000
"ken",2008,29000
"ken",2009,29120
"ken",2010,29120
"ken",2011,29100
"ken",2012,29100
"ken",2013,29100
"ken",2014,29100
"ken",2015,29100
"ken",2016,29100
"rwa",1985,5200
"rwa",1989,6000
"rwa",1990,6000
"rwa",1991,30000
"rwa",1992,30000
"rwa",1993,30000
"rwa",1994,30000
"rwa",1995,47000
"rwa",1996,40000
"rwa",1997,62000
"rwa",1998,54000
"rwa",1999,54000
"rwa",2000,76000
"rwa",2001,79000
"rwa",2002,80000
"rwa",2003,61000
"rwa",2004,53000
"rwa",2005,53000
"rwa",2007,35000
"rwa",2008,35000
"rwa",2009,35000
"rwa",2010,35000
"rwa",2011,35000
"rwa",2012,35000
"rwa",2013,35000
"rwa",2014,35000
"rwa",2015,35000
"rwa",2016,35000
"ssd",2010,140000
"ssd",2011,210000
"ssd",2012,210000
"ssd",2013,185000
"ssd",2014,185000
"ssd",2015,185000
"ssd",2016,185000
"tza",1985,40400
"tza",1989,40000
"tza",1990,40000
"tza",1991,40000
"tza",1992,46000
"tza",1993,46000
"tza",1994,50000
"tza",1995,36000
"tza",1996,36000
"tza",1997,36000
"tza",1998,35400
"tza",1999,35400
"tza",2000,35400
"tza",2001,28400
"tza",2002,28400
"tza",2003,28400
"tza",2004,28000
"tza",2005,28000
"tza",2007,28000
"tza",2008,28000
"tza",2009,28400
"tza",2010,28400
"tza",2011,28400
"tza",2012,28400
"tza",2013,28400
"tza",2014,28400
"tza",2015,28400
"tza",2016,28400
"uga",1985,20000
"uga",1989,40000
"uga",1990,60000
"uga",1991,60000
"uga",1992,70000
"uga",1993,70000
"uga",1994,60000
"uga",1995,51500
"uga",1996,51500
"uga",1997,46500
"uga",1998,41500
"uga",1999,41500
"uga",2000,50600
"uga",2001,56800
"uga",2002,56800
"uga",2003,61800
"uga",2004,55000
"uga",2005,47000
"uga",2007,47000
"uga",2008,47000
"uga",2009,46800
"uga",2010,46800
"uga",2011,46800
"uga",2012,46800
"uga",2013,46800
"uga",2014,46800
"uga",2015,46400
"uga",2016,46400
