"geo","time","body_mass_index_bmi_men_kgperm2"
"bdi",1980,21.09
"bdi",1981,21.11
"bdi",1982,21.13
"bdi",1983,21.13
"bdi",1984,21.13
"bdi",1985,21.15
"bdi",1986,21.17
"bdi",1987,21.2
"bdi",1988,21.23
"bdi",1989,21.25
"bdi",1990,21.27
"bdi",1991,21.31
"bdi",1992,21.34
"bdi",1993,21.35
"bdi",1994,21.35
"bdi",1995,21.34
"bdi",1996,21.33
"bdi",1997,21.32
"bdi",1998,21.31
"bdi",1999,21.31
"bdi",2000,21.3
"bdi",2001,21.3
"bdi",2002,21.32
"bdi",2003,21.34
"bdi",2004,21.36
"bdi",2005,21.39
"bdi",2006,21.42
"bdi",2007,21.46
"bdi",2008,21.5
"cod",1980,20.75
"cod",1981,20.74
"cod",1982,20.72
"cod",1983,20.71
"cod",1984,20.7
"cod",1985,20.69
"cod",1986,20.69
"cod",1987,20.68
"cod",1988,20.68
"cod",1989,20.67
"cod",1990,20.67
"cod",1991,20.65
"cod",1992,20.62
"cod",1993,20.56
"cod",1994,20.49
"cod",1995,20.4
"cod",1996,20.31
"cod",1997,20.22
"cod",1998,20.14
"cod",1999,20.06
"cod",2000,19.97
"cod",2001,19.9
"cod",2002,19.84
"cod",2003,19.81
"cod",2004,19.79
"cod",2005,19.79
"cod",2006,19.8
"cod",2007,19.83
"cod",2008,19.87
"ken",1980,20.31
"ken",1981,20.36
"ken",1982,20.41
"ken",1983,20.45
"ken",1984,20.49
"ken",1985,20.53
"ken",1986,20.57
"ken",1987,20.61
"ken",1988,20.66
"ken",1989,20.71
"ken",1990,20.76
"ken",1991,20.81
"ken",1992,20.86
"ken",1993,20.9
"ken",1994,20.93
"ken",1995,20.97
"ken",1996,21.01
"ken",1997,21.04
"ken",1998,21.09
"ken",1999,21.13
"ken",2000,21.17
"ken",2001,21.21
"ken",2002,21.25
"ken",2003,21.28
"ken",2004,21.33
"ken",2005,21.38
"ken",2006,21.45
"ken",2007,21.52
"ken",2008,21.59
"rwa",1980,21.62
"rwa",1981,21.66
"rwa",1982,21.71
"rwa",1983,21.76
"rwa",1984,21.78
"rwa",1985,21.81
"rwa",1986,21.83
"rwa",1987,21.83
"rwa",1988,21.83
"rwa",1989,21.84
"rwa",1990,21.82
"rwa",1991,21.79
"rwa",1992,21.79
"rwa",1993,21.79
"rwa",1994,21.71
"rwa",1995,21.72
"rwa",1996,21.72
"rwa",1997,21.74
"rwa",1998,21.77
"rwa",1999,21.82
"rwa",2000,21.87
"rwa",2001,21.92
"rwa",2002,22
"rwa",2003,22.09
"rwa",2004,22.18
"rwa",2005,22.26
"rwa",2006,22.35
"rwa",2007,22.45
"rwa",2008,22.55
"tza",1980,21.27
"tza",1981,21.3
"tza",1982,21.33
"tza",1983,21.36
"tza",1984,21.39
"tza",1985,21.42
"tza",1986,21.44
"tza",1987,21.46
"tza",1988,21.48
"tza",1989,21.5
"tza",1990,21.53
"tza",1991,21.57
"tza",1992,21.6
"tza",1993,21.62
"tza",1994,21.64
"tza",1995,21.66
"tza",1996,21.67
"tza",1997,21.72
"tza",1998,21.76
"tza",1999,21.8
"tza",2000,21.85
"tza",2001,21.9
"tza",2002,21.96
"tza",2003,22.03
"tza",2004,22.11
"tza",2005,22.2
"tza",2006,22.29
"tza",2007,22.38
"tza",2008,22.48
"uga",1980,21.27
"uga",1981,21.28
"uga",1982,21.31
"uga",1983,21.35
"uga",1984,21.36
"uga",1985,21.37
"uga",1986,21.39
"uga",1987,21.4
"uga",1988,21.43
"uga",1989,21.46
"uga",1990,21.5
"uga",1991,21.53
"uga",1992,21.56
"uga",1993,21.59
"uga",1994,21.64
"uga",1995,21.69
"uga",1996,21.74
"uga",1997,21.78
"uga",1998,21.83
"uga",1999,21.88
"uga",2000,21.93
"uga",2001,21.98
"uga",2002,22.04
"uga",2003,22.09
"uga",2004,22.14
"uga",2005,22.19
"uga",2006,22.24
"uga",2007,22.3
"uga",2008,22.36
