"geo","time","corruption_perception_index_cpi"
"bdi",2012,19
"bdi",2013,21
"bdi",2014,20
"bdi",2015,21
"bdi",2016,20
"bdi",2017,22
"cod",2012,21
"cod",2013,22
"cod",2014,22
"cod",2015,22
"cod",2016,21
"cod",2017,21
"ken",2012,27
"ken",2013,27
"ken",2014,25
"ken",2015,25
"ken",2016,26
"ken",2017,28
"rwa",2012,53
"rwa",2013,53
"rwa",2014,49
"rwa",2015,54
"rwa",2016,54
"rwa",2017,55
"ssd",2013,14
"ssd",2014,15
"ssd",2015,15
"ssd",2016,11
"ssd",2017,12
"tza",2012,35
"tza",2013,33
"tza",2014,31
"tza",2015,30
"tza",2016,32
"tza",2017,36
"uga",2012,29
"uga",2013,26
"uga",2014,26
"uga",2015,25
"uga",2016,25
"uga",2017,26
