"geo","time","infectious_tb_new_cases_per_100000_estimated"
"bdi",1990,67
"bdi",1991,73
"bdi",1992,77
"bdi",1993,81
"bdi",1994,86
"bdi",1995,92
"bdi",1996,97
"bdi",1997,105
"bdi",1998,113
"bdi",1999,123
"bdi",2000,135
"bdi",2001,146
"bdi",2002,157
"bdi",2003,164
"bdi",2004,166
"bdi",2005,165
"bdi",2006,162
"bdi",2007,158
"cod",1990,73
"cod",1991,81
"cod",1992,86
"cod",1993,93
"cod",1994,99
"cod",1995,106
"cod",1996,111
"cod",1997,120
"cod",1998,129
"cod",1999,140
"cod",2000,152
"cod",2001,165
"cod",2002,176
"cod",2003,184
"cod",2004,185
"cod",2005,183
"cod",2006,179
"cod",2007,174
"ken",1990,46
"ken",1991,46
"ken",1992,54
"ken",1993,63
"ken",1994,75
"ken",1995,87
"ken",1996,100
"ken",1997,117
"ken",1998,134
"ken",1999,149
"ken",2000,158
"ken",2001,160
"ken",2002,165
"ken",2003,173
"ken",2004,175
"ken",2005,162
"ken",2006,149
"ken",2007,142
"rwa",1990,65
"rwa",1991,72
"rwa",1992,77
"rwa",1993,83
"rwa",1994,89
"rwa",1995,95
"rwa",1996,100
"rwa",1997,108
"rwa",1998,117
"rwa",1999,127
"rwa",2000,139
"rwa",2001,151
"rwa",2002,163
"rwa",2003,170
"rwa",2004,173
"rwa",2005,171
"rwa",2006,168
"rwa",2007,164
"tza",1990,73
"tza",1991,80
"tza",1992,86
"tza",1993,92
"tza",1994,100
"tza",1995,109
"tza",1996,116
"tza",1997,123
"tza",1998,127
"tza",1999,130
"tza",2000,136
"tza",2001,139
"tza",2002,141
"tza",2003,138
"tza",2004,135
"tza",2005,131
"tza",2006,125
"tza",2007,120
"uga",1990,64
"uga",1991,97
"uga",1992,106
"uga",1993,116
"uga",1994,120
"uga",1995,125
"uga",1996,124
"uga",1997,127
"uga",1998,130
"uga",1999,129
"uga",2000,136
"uga",2001,145
"uga",2002,156
"uga",2003,161
"uga",2004,157
"uga",2005,151
"uga",2006,143
"uga",2007,136
