"geo","time","male_service_workers_percent_of_male_employment"
"bdi",1991,9.354
"bdi",1992,9.178
"bdi",1993,8.637
"bdi",1994,9.115
"bdi",1995,8.966
"bdi",1996,8.375
"bdi",1997,8.805
"bdi",1998,8.968
"bdi",1999,8.787
"bdi",2000,8.865
"bdi",2001,9.083
"bdi",2002,9.142
"bdi",2003,9.031
"bdi",2004,9.107
"bdi",2005,8.929
"bdi",2006,9.126
"bdi",2007,9.602
"bdi",2008,9.605
"bdi",2009,9.49
"bdi",2010,9.641
"bdi",2011,9.676
"bdi",2012,9.806
"bdi",2013,9.992
"bdi",2014,10.05
"bdi",2015,9.685
"bdi",2016,9.963
"bdi",2017,9.818
"bdi",2018,9.764
"bdi",2019,9.822
"bdi",2020,9.89
"bdi",2021,9.968
"bdi",2022,10.059
"cod",1991,10.554
"cod",1992,9.939
"cod",1993,9.38
"cod",1994,8.819
"cod",1995,8.699
"cod",1996,8.015
"cod",1997,8.02
"cod",1998,8.044
"cod",1999,8.299
"cod",2000,8.486
"cod",2001,7.907
"cod",2002,8.004
"cod",2003,8.192
"cod",2004,8.278
"cod",2005,8.413
"cod",2006,8.559
"cod",2007,8.725
"cod",2008,8.534
"cod",2009,8.69
"cod",2010,13.274
"cod",2011,13.391
"cod",2012,13.153
"cod",2013,12.259
"cod",2014,9.293
"cod",2015,9.614
"cod",2016,9.95
"cod",2017,10.049
"cod",2018,10.044
"cod",2019,10.068
"cod",2020,10.094
"cod",2021,10.164
"cod",2022,10.263
"ken",1991,44.806
"ken",1992,44.878
"ken",1993,45.48
"ken",1994,45.023
"ken",1995,45.453
"ken",1996,44.772
"ken",1997,44.972
"ken",1998,45.163
"ken",1999,45.249
"ken",2000,43.604
"ken",2001,44.347
"ken",2002,45.067
"ken",2003,45.205
"ken",2004,46.103
"ken",2005,46.922
"ken",2006,47.577
"ken",2007,47.91
"ken",2008,47.663
"ken",2009,47.591
"ken",2010,48.057
"ken",2011,48.073
"ken",2012,48.629
"ken",2013,49.353
"ken",2014,49.568
"ken",2015,49.922
"ken",2016,49.91
"ken",2017,49.938
"ken",2018,50.51
"ken",2019,51.142
"ken",2020,51.728
"ken",2021,52.424
"ken",2022,52.979
"rwa",1991,12.119
"rwa",1992,12.615
"rwa",1993,12.094
"rwa",1994,9.342
"rwa",1995,10.895
"rwa",1996,11.168
"rwa",1997,11.562
"rwa",1998,11.585
"rwa",1999,11.923
"rwa",2000,12.187
"rwa",2001,12.423
"rwa",2002,13.1
"rwa",2003,13.438
"rwa",2004,14.02
"rwa",2005,14.875
"rwa",2006,15.671
"rwa",2007,16.693
"rwa",2008,17.766
"rwa",2009,18.514
"rwa",2010,19.662
"rwa",2011,20.578
"rwa",2012,21.613
"rwa",2013,24.685
"rwa",2014,28.611
"rwa",2015,29.528
"rwa",2016,29.906
"rwa",2017,30.343
"rwa",2018,30.991
"rwa",2019,31.823
"rwa",2020,32.581
"rwa",2021,33.363
"rwa",2022,34.148
"ssd",1991,21.078
"ssd",1992,20.831
"ssd",1993,20.685
"ssd",1994,20.397
"ssd",1995,20.529
"ssd",1996,20.739
"ssd",1997,21.037
"ssd",1998,26.059
"ssd",1999,26.125
"ssd",2000,26.156
"ssd",2001,26.274
"ssd",2002,26.5
"ssd",2003,26.508
"ssd",2004,26.689
"ssd",2005,26.89
"ssd",2006,27.054
"ssd",2007,27.269
"ssd",2008,27.431
"ssd",2009,28.136
"ssd",2010,27.766
"ssd",2011,26.536
"ssd",2012,22.211
"ssd",2013,21.841
"ssd",2014,21.968
"ssd",2015,21.301
"ssd",2016,20.081
"ssd",2017,19.562
"ssd",2018,18.791
"ssd",2019,18.536
"ssd",2020,18.748
"ssd",2021,19.35
"ssd",2022,19.338
"tza",1991,18.483
"tza",1992,18.092
"tza",1993,18.616
"tza",1994,18.491
"tza",1995,18.839
"tza",1996,18.807
"tza",1997,18.875
"tza",1998,18.822
"tza",1999,19.19
"tza",2000,19.548
"tza",2001,20.025
"tza",2002,20.198
"tza",2003,20.281
"tza",2004,20.602
"tza",2005,21.686
"tza",2006,21.471
"tza",2007,22.159
"tza",2008,22.096
"tza",2009,22.904
"tza",2010,23.142
"tza",2011,23.286
"tza",2012,23.883
"tza",2013,24.248
"tza",2014,25.383
"tza",2015,25.826
"tza",2016,26.693
"tza",2017,27.043
"tza",2018,27.584
"tza",2019,28.112
"tza",2020,28.715
"tza",2021,29.28
"tza",2022,29.852
"uga",1991,21.619
"uga",1992,21.61
"uga",1993,22.218
"uga",1994,22.805
"uga",1995,23.379
"uga",1996,24.126
"uga",1997,24.738
"uga",1998,24.856
"uga",1999,25.369
"uga",2000,26.403
"uga",2001,26.726
"uga",2002,27.789
"uga",2003,27.68
"uga",2004,25.931
"uga",2005,22.409
"uga",2006,22.632
"uga",2007,22.081
"uga",2008,22.014
"uga",2009,20.379
"uga",2010,23.446
"uga",2011,25.882
"uga",2012,27.582
"uga",2013,22.725
"uga",2014,23.215
"uga",2015,23.824
"uga",2016,24.432
"uga",2017,25.609
"uga",2018,25.994
"uga",2019,26.412
"uga",2020,26.937
"uga",2021,27.54
"uga",2022,27.789
