"geo","time","median_age_years"
"bdi",1950,19.499
"bdi",1955,18.934
"bdi",1960,18.371
"bdi",1965,17.702
"bdi",1970,17.206
"bdi",1975,17.171
"bdi",1980,17.649
"bdi",1985,17.217
"bdi",1990,16.399
"bdi",1995,15.266
"bdi",2000,15.295
"bdi",2005,16.739
"bdi",2010,17.57
"bdi",2015,17.564
"bdi",2020,17.501
"bdi",2025,17.831
"bdi",2030,18.587
"bdi",2035,19.474
"bdi",2040,20.389
"bdi",2045,21.237
"bdi",2050,22.027
"bdi",2055,22.86
"bdi",2060,23.772
"bdi",2065,24.741
"bdi",2070,25.791
"bdi",2075,26.827
"bdi",2080,27.839
"bdi",2085,28.851
"bdi",2090,29.846
"bdi",2095,30.888
"bdi",2100,31.943
"cod",1950,18.112
"cod",1955,18.114
"cod",1960,18.164
"cod",1965,18.178
"cod",1970,18.054
"cod",1975,17.823
"cod",1980,17.653
"cod",1985,17.508
"cod",1990,17.377
"cod",1995,17.22
"cod",2000,17.15
"cod",2005,17.032
"cod",2010,16.867
"cod",2015,16.777
"cod",2020,16.988
"cod",2025,17.504
"cod",2030,18.215
"cod",2035,19.036
"cod",2040,19.916
"cod",2045,20.975
"cod",2050,22.125
"cod",2055,23.342
"cod",2060,24.616
"cod",2065,25.995
"cod",2070,27.402
"cod",2075,28.807
"cod",2080,30.216
"cod",2085,31.66
"cod",2090,33.07
"cod",2095,34.444
"cod",2100,35.802
"ken",1950,19.988
"ken",1955,18.931
"ken",1960,17.171
"ken",1965,15.846
"ken",1970,15.45
"ken",1975,15.168
"ken",1980,15.015
"ken",1985,15.016
"ken",1990,15.451
"ken",1995,16.434
"ken",2000,17.046
"ken",2005,17.637
"ken",2010,18.175
"ken",2015,18.958
"ken",2020,19.957
"ken",2025,21.184
"ken",2030,22.457
"ken",2035,23.702
"ken",2040,24.886
"ken",2045,26.161
"ken",2050,27.447
"ken",2055,28.738
"ken",2060,30.037
"ken",2065,31.393
"ken",2070,32.717
"ken",2075,34.017
"ken",2080,35.294
"ken",2085,36.554
"ken",2090,37.762
"ken",2095,38.916
"ken",2100,40.022
"rwa",1950,18.01
"rwa",1955,17.464
"rwa",1960,16.258
"rwa",1965,15.367
"rwa",1970,15.971
"rwa",1975,16.24
"rwa",1980,15.951
"rwa",1985,15.208
"rwa",1990,15.302
"rwa",1995,17.823
"rwa",2000,17.278
"rwa",2005,18.272
"rwa",2010,19.075
"rwa",2015,19.43
"rwa",2020,20.279
"rwa",2025,21.523
"rwa",2030,22.92
"rwa",2035,24.341
"rwa",2040,25.782
"rwa",2045,27.229
"rwa",2050,28.691
"rwa",2055,30.166
"rwa",2060,31.715
"rwa",2065,33.264
"rwa",2070,34.81
"rwa",2075,36.407
"rwa",2080,37.96
"rwa",2085,39.451
"rwa",2090,40.815
"rwa",2095,42.025
"rwa",2100,43.099
"ssd",1950,18.085
"ssd",1955,18.59
"ssd",1960,18.841
"ssd",1965,18.913
"ssd",1970,18.574
"ssd",1975,17.942
"ssd",1980,17.719
"ssd",1985,17.784
"ssd",1990,17.76
"ssd",1995,17.687
"ssd",2000,17.571
"ssd",2005,17.703
"ssd",2010,18.063
"ssd",2015,18.605
"ssd",2020,19.218
"ssd",2025,19.849
"ssd",2030,20.644
"ssd",2035,21.536
"ssd",2040,22.504
"ssd",2045,23.511
"ssd",2050,24.538
"ssd",2055,25.615
"ssd",2060,26.71
"ssd",2065,27.793
"ssd",2070,28.863
"ssd",2075,29.924
"ssd",2080,31.025
"ssd",2085,32.114
"ssd",2090,33.18
"ssd",2095,34.226
"ssd",2100,35.255
"tza",1950,16.94
"tza",1955,17.045
"tza",1960,17.014
"tza",1965,16.983
"tza",1970,16.849
"tza",1975,16.72
"tza",1980,16.647
"tza",1985,16.703
"tza",1990,16.844
"tza",1995,17.034
"tza",2000,17.235
"tza",2005,17.208
"tza",2010,17.237
"tza",2015,17.291
"tza",2020,17.683
"tza",2025,18.279
"tza",2030,18.973
"tza",2035,19.723
"tza",2040,20.52
"tza",2045,21.375
"tza",2050,22.286
"tza",2055,23.244
"tza",2060,24.23
"tza",2065,25.259
"tza",2070,26.351
"tza",2075,27.433
"tza",2080,28.505
"tza",2085,29.568
"tza",2090,30.658
"tza",2095,31.751
"tza",2100,32.83
"uga",1950,18.194
"uga",1955,17.689
"uga",1960,17.06
"uga",1965,16.714
"uga",1970,16.504
"uga",1975,16.365
"uga",1980,16.24
"uga",1985,16.146
"uga",1990,15.913
"uga",1995,15.477
"uga",2000,15.163
"uga",2005,15.08
"uga",2010,15.326
"uga",2015,15.793
"uga",2020,16.436
"uga",2025,17.16
"uga",2030,17.936
"uga",2035,18.772
"uga",2040,19.683
"uga",2045,20.747
"uga",2050,21.894
"uga",2055,23.063
"uga",2060,24.247
"uga",2065,25.483
"uga",2070,26.778
"uga",2075,28.067
"uga",2080,29.349
"uga",2085,30.653
"uga",2090,31.96
"uga",2095,33.235
"uga",2100,34.478
