"geo","time","motorcycle_deaths_per_100000_people"
"bdi",1990,2.95
"bdi",1991,2.92
"bdi",1992,2.9
"bdi",1993,2.87
"bdi",1994,2.85
"bdi",1995,2.84
"bdi",1996,2.8
"bdi",1997,2.7
"bdi",1998,2.62
"bdi",1999,2.47
"bdi",2000,2.41
"bdi",2001,2.22
"bdi",2002,2.13
"bdi",2003,2.06
"bdi",2004,2.05
"bdi",2005,2.02
"bdi",2006,2
"bdi",2007,1.93
"bdi",2008,1.91
"bdi",2009,1.91
"bdi",2010,1.94
"bdi",2011,1.95
"bdi",2012,1.98
"bdi",2013,1.96
"bdi",2014,1.99
"bdi",2015,1.99
"bdi",2016,1.95
"cod",1990,2.06
"cod",1991,2.08
"cod",1992,2.06
"cod",1993,1.96
"cod",1994,1.94
"cod",1995,1.98
"cod",1996,2.07
"cod",1997,1.95
"cod",1998,1.96
"cod",1999,1.96
"cod",2000,1.97
"cod",2001,1.95
"cod",2002,1.88
"cod",2003,1.96
"cod",2004,1.85
"cod",2005,1.8
"cod",2006,1.77
"cod",2007,1.75
"cod",2008,1.78
"cod",2009,1.75
"cod",2010,1.74
"cod",2011,1.74
"cod",2012,1.74
"cod",2013,1.72
"cod",2014,1.7
"cod",2015,1.69
"cod",2016,1.67
"ken",1990,0.91
"ken",1991,0.93
"ken",1992,0.95
"ken",1993,0.97
"ken",1994,0.98
"ken",1995,0.98
"ken",1996,0.99
"ken",1997,0.99
"ken",1998,1.02
"ken",1999,1
"ken",2000,1.01
"ken",2001,1
"ken",2002,1.01
"ken",2003,1.03
"ken",2004,1.02
"ken",2005,1
"ken",2006,0.98
"ken",2007,0.96
"ken",2008,0.95
"ken",2009,0.95
"ken",2010,0.94
"ken",2011,0.95
"ken",2012,0.95
"ken",2013,0.93
"ken",2014,0.92
"ken",2015,0.91
"ken",2016,0.91
"rwa",1990,7.59
"rwa",1991,7.85
"rwa",1992,7.99
"rwa",1993,8.02
"rwa",1994,8.11
"rwa",1995,8.15
"rwa",1996,8.07
"rwa",1997,7.98
"rwa",1998,7.75
"rwa",1999,7.25
"rwa",2000,6.77
"rwa",2001,6.26
"rwa",2002,5.91
"rwa",2003,5.59
"rwa",2004,5.4
"rwa",2005,5.15
"rwa",2006,5.03
"rwa",2007,4.86
"rwa",2008,4.7
"rwa",2009,4.61
"rwa",2010,4.56
"rwa",2011,4.51
"rwa",2012,4.47
"rwa",2013,4.47
"rwa",2014,4.44
"rwa",2015,4.45
"rwa",2016,4.43
"ssd",1990,1.53
"ssd",1991,1.51
"ssd",1992,1.53
"ssd",1993,1.55
"ssd",1994,1.56
"ssd",1995,1.58
"ssd",1996,1.57
"ssd",1997,1.51
"ssd",1998,1.5
"ssd",1999,1.48
"ssd",2000,1.46
"ssd",2001,1.39
"ssd",2002,1.34
"ssd",2003,1.35
"ssd",2004,1.36
"ssd",2005,1.37
"ssd",2006,1.4
"ssd",2007,1.41
"ssd",2008,1.39
"ssd",2009,1.38
"ssd",2010,1.35
"ssd",2011,1.33
"ssd",2012,1.33
"ssd",2013,1.34
"ssd",2014,1.34
"ssd",2015,1.34
"ssd",2016,1.34
"tza",1990,1.75
"tza",1991,1.72
"tza",1992,1.72
"tza",1993,1.7
"tza",1994,1.72
"tza",1995,1.67
"tza",1996,1.64
"tza",1997,1.61
"tza",1998,1.6
"tza",1999,1.59
"tza",2000,1.54
"tza",2001,1.48
"tza",2002,1.44
"tza",2003,1.44
"tza",2004,1.43
"tza",2005,1.43
"tza",2006,1.42
"tza",2007,1.4
"tza",2008,1.39
"tza",2009,1.38
"tza",2010,1.38
"tza",2011,1.37
"tza",2012,1.37
"tza",2013,1.37
"tza",2014,1.35
"tza",2015,1.33
"tza",2016,1.32
"uga",1990,2.11
"uga",1991,2.17
"uga",1992,2.13
"uga",1993,2.13
"uga",1994,2.14
"uga",1995,2.1
"uga",1996,2.09
"uga",1997,2.01
"uga",1998,2
"uga",1999,1.97
"uga",2000,1.97
"uga",2001,1.98
"uga",2002,1.93
"uga",2003,1.9
"uga",2004,1.88
"uga",2005,1.85
"uga",2006,1.86
"uga",2007,1.87
"uga",2008,1.84
"uga",2009,1.81
"uga",2010,1.77
"uga",2011,1.75
"uga",2012,1.74
"uga",2013,1.73
"uga",2014,1.71
"uga",2015,1.67
"uga",2016,1.65
