"geo","time","population_aged_10_14_years_female_percent"
"bdi",1950,11.24126
"bdi",1955,10.95037
"bdi",1960,10.77869
"bdi",1965,12.00678
"bdi",1970,12.23996
"bdi",1975,12.60137
"bdi",1980,11.57225
"bdi",1985,10.8858
"bdi",1990,11.70942
"bdi",1995,13.15354
"bdi",2000,14.61842
"bdi",2005,13.77033
"bdi",2010,12.1078
"bdi",2015,11.67497
"bdi",2020,12.30474
"bdi",2025,12.57856
"bdi",2030,12.5489
"bdi",2035,12.01046
"bdi",2040,11.36483
"bdi",2045,11.03493
"bdi",2050,10.93619
"bdi",2055,10.77272
"bdi",2060,10.4183
"bdi",2065,9.95365
"bdi",2070,9.52407
"bdi",2075,9.21477
"bdi",2080,8.98196
"bdi",2085,8.72086
"bdi",2090,8.40117
"bdi",2095,8.04082
"bdi",2100,7.73819
"cod",1950,11.54889
"cod",1955,11.7993
"cod",1960,11.77344
"cod",1965,11.26549
"cod",1970,11.43954
"cod",1975,11.6582
"cod",1980,11.83405
"cod",1985,11.89627
"cod",1990,11.97821
"cod",1995,12.09283
"cod",2000,12.19814
"cod",2005,12.24255
"cod",2010,12.20238
"cod",2015,12.44192
"cod",2020,12.757
"cod",2025,12.84299
"cod",2030,12.54145
"cod",2035,12.18054
"cod",2040,11.86267
"cod",2045,11.52199
"cod",2050,11.11679
"cod",2055,10.62223
"cod",2060,10.10659
"cod",2065,9.60927
"cod",2070,9.13475
"cod",2075,8.71446
"cod",2080,8.28385
"cod",2085,7.87587
"cod",2090,7.50012
"cod",2095,7.14155
"cod",2100,6.82645
"ken",1950,10.84886
"ken",1955,9.80219
"ken",1960,11.35567
"ken",1965,12.70765
"ken",1970,12.92267
"ken",1975,13.0048
"ken",1980,13.02306
"ken",1985,13.29382
"ken",1990,13.5149
"ken",1995,13.72905
"ken",2000,13.38214
"ken",2005,12.22862
"ken",2010,12.45408
"ken",2015,12.34011
"ken",2020,12.15888
"ken",2025,11.29863
"ken",2030,10.77936
"ken",2035,10.33912
"ken",2040,9.97414
"ken",2045,9.5945
"ken",2050,9.16405
"ken",2055,8.72402
"ken",2060,8.33568
"ken",2065,7.97626
"ken",2070,7.64172
"ken",2075,7.32608
"ken",2080,7.01902
"ken",2085,6.71088
"ken",2090,6.43664
"ken",2095,6.20646
"ken",2100,5.99872
"rwa",1950,10.92277
"rwa",1955,10.32438
"rwa",1960,12.02775
"rwa",1965,13.30863
"rwa",1970,13.53899
"rwa",1975,12.60455
"rwa",1980,12.09217
"rwa",1985,12.38688
"rwa",1990,13.17961
"rwa",1995,14.84393
"rwa",2000,14.09355
"rwa",2005,11.7213
"rwa",2010,11.76366
"rwa",2015,11.85197
"rwa",2020,12.04477
"rwa",2025,11.4984
"rwa",2030,10.71209
"rwa",2035,9.92172
"rwa",2040,9.44334
"rwa",2045,9.1594
"rwa",2050,8.83457
"rwa",2055,8.34922
"rwa",2060,7.78355
"rwa",2065,7.27858
"rwa",2070,6.89139
"rwa",2075,6.57708
"rwa",2080,6.29842
"rwa",2085,6.00576
"rwa",2090,5.72828
"rwa",2095,5.4978
"rwa",2100,5.33066
"ssd",1950,11.91498
"ssd",1955,12.32566
"ssd",1960,12.06122
"ssd",1965,10.6764
"ssd",1970,11.30312
"ssd",1975,11.77609
"ssd",1980,12.09157
"ssd",1985,12.10072
"ssd",1990,11.9713
"ssd",1995,11.69066
"ssd",2000,12.19873
"ssd",2005,12.44568
"ssd",2010,12.53332
"ssd",2015,12.19568
"ssd",2020,12.00774
"ssd",2025,11.74519
"ssd",2030,11.55694
"ssd",2035,11.28941
"ssd",2040,10.91772
"ssd",2045,10.49787
"ssd",2050,10.09496
"ssd",2055,9.73278
"ssd",2060,9.39314
"ssd",2065,9.05094
"ssd",2070,8.70189
"ssd",2075,8.36111
"ssd",2080,8.04444
"ssd",2085,7.75378
"ssd",2090,7.47623
"ssd",2095,7.2004
"ssd",2100,6.94309
"tza",1950,12.14
"tza",1955,12.23605
"tza",1960,12.41861
"tza",1965,11.92471
"tza",1970,12.1601
"tza",1975,12.27106
"tza",1980,12.36696
"tza",1985,12.51716
"tza",1990,12.59781
"tza",1995,12.58344
"tza",2000,12.60794
"tza",2005,12.56165
"tza",2010,12.17209
"tza",2015,12.6568
"tza",2020,12.56097
"tza",2025,12.48796
"tza",2030,12.0954
"tza",2035,11.74648
"tza",2040,11.4772
"tza",2045,11.21722
"tza",2050,10.89963
"tza",2055,10.54277
"tza",2060,10.16064
"tza",2065,9.80492
"tza",2070,9.48078
"tza",2075,9.15542
"tza",2080,8.84663
"tza",2085,8.53641
"tza",2090,8.23308
"tza",2095,7.95061
"tza",2100,7.69309
"uga",1950,10.67053
"uga",1955,11.62007
"uga",1960,11.77827
"uga",1965,12.43831
"uga",1970,12.36004
"uga",1975,12.43746
"uga",1980,12.60356
"uga",1985,12.54681
"uga",1990,12.63688
"uga",1995,12.80921
"uga",2000,13.04121
"uga",2005,13.28832
"uga",2010,13.28811
"uga",2015,13.38014
"uga",2020,13.24469
"uga",2025,12.94779
"uga",2030,12.66858
"uga",2035,12.34778
"uga",2040,12.0042
"uga",2045,11.59242
"uga",2050,11.12657
"uga",2055,10.66398
"uga",2060,10.21474
"uga",2065,9.78942
"uga",2070,9.37362
"uga",2075,8.9657
"uga",2080,8.57919
"uga",2085,8.21479
"uga",2090,7.86973
"uga",2095,7.5478
"uga",2100,7.24495
