"geo","time","roads_paved_percent_of_total_roads"
"bdi",1999,7.1
"bdi",2000,7.1
"bdi",2004,10.44
"cod",2004,1.82
"ken",1990,12.8
"ken",1991,13.3
"ken",1992,13.8
"ken",1993,14.3
"ken",1994,13.6
"ken",1995,13.8
"ken",1996,12.1
"ken",1997,12.1
"ken",1998,12.1
"ken",1999,12.1
"ken",2000,12.1
"ken",2004,14.12
"ken",2008,14.59
"ken",2009,14.33
"rwa",1990,9
"rwa",1991,9.2
"rwa",1992,9.4
"rwa",1993,9.6
"rwa",1994,9.7
"rwa",1995,9.9
"rwa",2004,19
"tza",2003,8.63
"tza",2008,7.38
"tza",2009,6.67
"uga",2003,23
