"geo","time","tb_with_hivplus_number_of_new_cases_estimated"
"bdi",1990,1338
"bdi",1991,2028
"bdi",1992,3225
"bdi",1993,4188
"bdi",1994,4700
"bdi",1995,5074
"bdi",1996,5332
"bdi",1997,5648
"bdi",1998,5969
"bdi",1999,6319
"bdi",2000,6715
"bdi",2001,7074
"bdi",2002,7352
"bdi",2003,7446
"bdi",2004,7293
"bdi",2005,6985
"bdi",2006,6573
"bdi",2007,6187
"cod",1990,3801
"cod",1991,4338
"cod",1992,4768
"cod",1993,5249
"cod",1994,5728
"cod",1995,6242
"cod",1996,6730
"cod",1997,7370
"cod",1998,8107
"cod",1999,8993
"cod",2000,10050
"cod",2001,11180
"cod",2002,12310
"cod",2003,13250
"cod",2004,13840
"cod",2005,14140
"cod",2006,14270
"cod",2007,14430
"ken",1990,10320
"ken",1991,12740
"ken",1992,17430
"ken",1993,23090
"ken",1994,29980
"ken",1995,37090
"ken",1996,44680
"ken",1997,53900
"ken",1998,62630
"ken",1999,70290
"ken",2000,74930
"ken",2001,75500
"ken",2002,77190
"ken",2003,79700
"ken",2004,79800
"ken",2005,72860
"ken",2006,66360
"ken",2007,63340
"rwa",1990,7359
"rwa",1991,7803
"rwa",1992,7700
"rwa",1993,7487
"rwa",1994,7397
"rwa",1995,7627
"rwa",1996,8195
"rwa",1997,9309
"rwa",1998,10760
"rwa",1999,12350
"rwa",2000,13880
"rwa",2001,15100
"rwa",2002,15960
"rwa",2003,16250
"rwa",2004,15990
"rwa",2005,15450
"rwa",2006,14830
"rwa",2007,14470
"tza",1990,17060
"tza",1991,21470
"tza",1992,25880
"tza",1993,30330
"tza",1994,35180
"tza",1995,40380
"tza",1996,44950
"tza",1997,49170
"tza",1998,51980
"tza",1999,54600
"tza",2000,57770
"tza",2001,59950
"tza",2002,61760
"tza",2003,61340
"tza",2004,60870
"tza",2005,59480
"tza",2006,57840
"tza",2007,56230
"uga",1990,17200
"uga",1991,27530
"uga",1992,30960
"uga",1993,34560
"uga",1994,36350
"uga",1995,38420
"uga",1996,38170
"uga",1997,39000
"uga",1998,39840
"uga",1999,39530
"uga",2000,41390
"uga",2001,43640
"uga",2002,46680
"uga",2003,47670
"uga",2004,46170
"uga",2005,44220
"uga",2006,41680
"uga",2007,39380
